crash_Id,fecha,route,operator,aircraft_type,all_aboard,passangers_onboard,crew_aboard,deaths_number,passenger_fatalities,crew_fatalities
1607,1957-01-06,"Owasso, Oklahoma",American Airlines,Convair CV-240-0,10,7,3,1,1,0
1608,1957-01-11,"Near Buenos Aires, Argentina",Lineas Aereas del Estado,Vickers 615 Viking 1B,33,29,4,17,15,2
1609,1957-01-23,"Ometepe Island, Nicaragua",Lanica,Douglas DC-3,16,13,3,16,13,3
1610,1957-01-29,"Paris, France",Air France,SNCASE SE.2010 Armagnac,70,60,10,2,1,1
1611,1957-01-31,"Near Sunland, California",Douglas Aircraft,Douglas DC-7B / U.S. Air Force F-89J,6,0,6,5,0,5
1612,1957-02-01,"New York, New York",Northeast Airlines,Douglas DC-6A,101,95,6,21,21,0
1613,1957-02-22,"Kimpo Air Base, South Korea",Military - U.S. Air Force,Douglas C-124C,159,149,10,22,19,3
1614,1957-03-02,"Blyn, Washington",Alaska Airlines,Douglas C-54B,5,2,3,5,2,3
1615,1957-03-04,"Near Miho AB, Japan",Japanese Air Force,Curtiss C-46D-15--CU,17,15,2,17,15,2
1616,1957-03-05,"Drayton, England",Military -Royal Air Force,Blackburn Beverley C Mark 1,22,17,5,18,15,3
